,Date,Volume (BTC)
706,2017-06-06,26695.6708176
707,2017-06-07,16967.0435357
708,2017-06-08,13251.405449099999
709,2017-06-09,8036.31356941
710,2017-06-10,9593.36119146
711,2017-06-11,6830.60683981
712,2017-06-12,31534.9460555
713,2017-06-13,16275.8344125
714,2017-06-14,29478.820283899997
715,2017-06-15,36751.0913082
716,2017-06-16,13802.3932998
717,2017-06-17,11142.9851856
718,2017-06-18,9424.23118056
719,2017-06-19,10570.672525
720,2017-06-20,15891.6994882
721,2017-06-21,15676.323526299999
722,2017-06-22,10792.7876464
723,2017-06-23,8232.48064925
724,2017-06-24,13342.8178558
725,2017-06-25,10339.5743741
726,2017-06-26,22094.2115107
727,2017-06-27,19129.5965076
728,2017-06-28,12274.5453035
729,2017-06-29,8125.37763725
730,2017-06-30,8715.71676156
731,2017-07-01,8885.89349655
732,2017-07-02,8744.53441127
733,2017-07-03,11520.707308
734,2017-07-04,9662.75941445
735,2017-07-05,10882.839010700001
736,2017-07-06,8333.98094907
737,2017-07-07,9430.615457799999
738,2017-07-08,5405.89088691
739,2017-07-09,4483.14413363
740,2017-07-10,17296.340452700002
741,2017-07-11,17580.9616353
742,2017-07-12,12883.5549381
743,2017-07-13,8429.85040306
744,2017-07-14,12659.0170436
745,2017-07-15,19886.6795232
746,2017-07-16,25562.7056446
747,2017-07-17,26448.501402500002
748,2017-07-18,25204.4896025
749,2017-07-19,17009.883495899998
750,2017-07-20,30989.8911253
751,2017-07-21,20724.160503400002
752,2017-07-22,12819.631348
753,2017-07-23,11001.964600700001
754,2017-07-24,10001.9150661
755,2017-07-25,21326.5478389
756,2017-07-26,17713.6744658
757,2017-07-27,11826.4751995
758,2017-07-28,14069.5014921
759,2017-07-29,10782.217536799999
760,2017-07-30,9678.16126067
761,2017-07-31,11114.3355422
762,2017-08-01,12525.0766911
763,2017-08-02,9486.62552563
764,2017-08-03,7963.69799924
765,2017-08-04,7635.821671899999
766,2017-08-05,16996.2731009
767,2017-08-06,5998.73578852
768,2017-08-07,12046.117265
769,2017-08-08,15835.370207799999
