,Date,Daily Closing Price
552,2017-01-03,1035.24
553,2017-01-04,1114.92
554,2017-01-05,1004.74
555,2017-01-06,893.89
556,2017-01-07,906.2
557,2017-01-08,909.75
558,2017-01-09,896.23
559,2017-01-10,905.05
560,2017-01-11,778.62
561,2017-01-12,807.47
562,2017-01-13,825.86
563,2017-01-14,818.27
564,2017-01-15,821.86
565,2017-01-16,831.81
566,2017-01-17,905.99
567,2017-01-18,887.7
568,2017-01-19,901.01
569,2017-01-20,895.8
570,2017-01-21,921.98
571,2017-01-22,923.76
572,2017-01-23,913.52
573,2017-01-24,885.47
574,2017-01-25,893.43
575,2017-01-26,914.83
576,2017-01-27,918.02
577,2017-01-28,918.6
578,2017-01-29,912.01
579,2017-01-30,919.99
580,2017-01-31,963.99
581,2017-02-01,983.67
582,2017-02-02,1009.17
583,2017-02-03,1016.99
584,2017-02-04,1033.18
585,2017-02-05,1011.07
586,2017-02-06,1023.99
587,2017-02-07,1052.48
588,2017-02-08,1050.4
589,2017-02-09,986.0
590,2017-02-10,996.08
591,2017-02-11,1012.4
592,2017-02-12,1000.73
593,2017-02-13,1000.79
594,2017-02-14,1008.88
595,2017-02-15,1011.53
596,2017-02-16,1032.7
597,2017-02-17,1055.46
598,2017-02-18,1056.4
599,2017-02-19,1051.8
600,2017-02-20,1084.0
601,2017-02-21,1124.62
602,2017-02-22,1130.01
603,2017-02-23,1188.11
604,2017-02-24,1180.14
605,2017-02-25,1152.2
606,2017-02-26,1179.05
607,2017-02-27,1194.64
608,2017-02-28,1191.21
609,2017-03-01,1226.39
610,2017-03-02,1257.6
611,2017-03-03,1285.33
612,2017-03-04,1260.0
613,2017-03-05,1273.0
614,2017-03-06,1278.49
615,2017-03-07,1233.05
616,2017-03-08,1150.05
617,2017-03-09,1190.89
618,2017-03-10,1116.97
619,2017-03-11,1176.55
620,2017-03-12,1226.62
621,2017-03-13,1242.46
622,2017-03-14,1245.86
623,2017-03-15,1257.32
624,2017-03-16,1172.62
625,2017-03-17,1071.02
626,2017-03-18,969.4
627,2017-03-19,1017.97
628,2017-03-20,1035.96
629,2017-03-21,1114.39
630,2017-03-22,1037.56
631,2017-03-23,1029.65
632,2017-03-24,929.06
633,2017-03-25,956.02
634,2017-03-26,960.0
635,2017-03-27,1039.92
636,2017-03-28,1043.99
637,2017-03-29,1035.96
638,2017-03-30,1033.7
639,2017-03-31,1070.31
640,2017-04-01,1083.94
641,2017-04-02,1078.01
642,2017-04-03,1144.77
643,2017-04-04,1143.0
644,2017-04-05,1134.58
645,2017-04-06,1190.85
646,2017-04-07,1190.66
647,2017-04-08,1184.03
648,2017-04-09,1206.2
649,2017-04-10,1209.25
650,2017-04-11,1218.99
651,2017-04-12,1212.17
652,2017-04-13,1172.91
653,2017-04-14,1170.34
654,2017-04-15,1173.45
655,2017-04-16,1162.31
656,2017-04-17,1176.54
657,2017-04-18,1202.58
658,2017-04-19,1203.98
659,2017-04-20,1234.19
660,2017-04-21,1243.61
661,2017-04-22,1233.2
662,2017-04-23,1241.99
663,2017-04-24,1253.58
664,2017-04-25,1269.0
665,2017-04-26,1287.99
666,2017-04-27,1331.53
667,2017-04-28,1330.7
668,2017-04-29,1333.0
669,2017-04-30,1350.21
670,2017-05-01,1390.86
671,2017-05-02,1447.75
672,2017-05-03,1503.22
673,2017-05-04,1537.23
674,2017-05-05,1514.9
675,2017-05-06,1558.02
676,2017-05-07,1554.01
677,2017-05-08,1649.54
678,2017-05-09,1720.28
679,2017-05-10,1772.58
680,2017-05-11,1828.45
681,2017-05-12,1691.51
682,2017-05-13,1776.89
683,2017-05-14,1784.0
684,2017-05-15,1705.48
685,2017-05-16,1700.01
686,2017-05-17,1782.99
687,2017-05-18,1878.99
688,2017-05-19,1958.0
689,2017-05-20,2013.99
690,2017-05-21,2017.55
691,2017-05-22,2099.97
692,2017-05-23,2264.23
693,2017-05-24,2420.29
694,2017-05-25,2292.53
695,2017-05-26,2279.82
696,2017-05-27,2042.0
697,2017-05-28,2178.81
698,2017-05-29,2292.1
699,2017-05-30,2203.51
700,2017-05-31,2298.01
701,2017-06-01,2413.63
702,2017-06-02,2488.94
703,2017-06-03,2540.94
704,2017-06-04,2530.27
705,2017-06-05,2698.0
706,2017-06-06,2880.74
707,2017-06-07,2683.03
708,2017-06-08,2806.0
709,2017-06-09,2822.32
710,2017-06-10,2899.99
711,2017-06-11,2954.22
712,2017-06-12,2667.06
713,2017-06-13,2703.02
714,2017-06-14,2450.0
715,2017-06-15,2424.91
716,2017-06-16,2484.68
717,2017-06-17,2630.0
718,2017-06-18,2516.98
